ds,yhat
2024-06-10,1339700.4413348213
2024-06-11,1339625.8100765515
2024-06-12,1339551.108227514
2024-06-13,1339476.3357877086
2024-06-14,1339401.4927571355
2024-06-15,1339326.5791357947
2024-06-16,1339251.594923686
2024-06-17,1339176.5401208096
2024-06-18,1339101.4147271656
2024-06-19,1339026.2187427536
2024-06-20,1338950.9521675739
2024-06-21,1338875.6150016265
2024-06-22,1338800.2072449115
2024-06-23,1338724.7288974284
2024-06-24,1338649.1799591777
2024-06-25,1338573.5604301593
2024-06-26,1338497.8703103731
2024-06-27,1338422.1095998192
2024-06-28,1338346.2782984974
2024-06-29,1338270.376406408
2024-06-30,1338194.4039235506
2024-07-01,1338118.3608499258
2024-07-02,1338042.247185533
2024-07-03,1337966.0629303725
2024-07-04,1337889.8080844441
2024-07-05,1337813.4826477482
